ida_ea	name	gate	result	session	date	source_ref	detail
0x00899090	?GetLastError@MemoryUnitManager@@SA?AW4eStatus@1@XZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663888-1663892;src/game/platform_xbox/MemoryUnit.cpp:60-63	Release returns the mLastError static; source returns the same static.
0x00899090	?GetLastError@MemoryUnitManager@@SA?AW4eStatus@1@XZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663888-1663892;src/game/platform_xbox/MemoryUnit.cpp:60-63	Exact release/source getter behavior.
0x008990A0	?SetLastError@MemoryUnitManager@@SAXW4eStatus@1@@Z	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663894-1663898;src/game/platform_xbox/MemoryUnit.cpp:66-69	Release assigns mLastError; source performs the same assignment.
0x008990A0	?SetLastError@MemoryUnitManager@@SAXW4eStatus@1@@Z	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663894-1663898;src/game/platform_xbox/MemoryUnit.cpp:66-69	Exact release/source setter behavior.
0x008990B0	?SetTitlePrefix@MemoryUnitManager@@SAXPBD@Z	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663900-1663904;src/game/platform_xbox/MemoryUnit.cpp:72-75	Release copies titlePrefix into mTitlePrefix with strcpy; source does the same.
0x008990B0	?SetTitlePrefix@MemoryUnitManager@@SAXPBD@Z	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663900-1663904;src/game/platform_xbox/MemoryUnit.cpp:72-75	Exact release/source copy behavior.
0x008990D0	?GetTitlePrefix@MemoryUnitManager@@SAPBDXZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663906-1663910;src/game/platform_xbox/MemoryUnit.cpp:78-81	Release returns mTitlePrefix; source returns the same buffer.
0x008990D0	?GetTitlePrefix@MemoryUnitManager@@SAPBDXZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663906-1663910;src/game/platform_xbox/MemoryUnit.cpp:78-81	Exact release/source getter behavior.
0x008990E0	?SetActiveMemoryUnit@MemoryUnitManager@@SAXH@Z	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663912-1663916;src/game/platform_xbox/MemoryUnit.cpp:84-87	Release assigns mActiveMemoryUnit; source performs the same assignment.
0x008990E0	?SetActiveMemoryUnit@MemoryUnitManager@@SAXH@Z	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663912-1663916;src/game/platform_xbox/MemoryUnit.cpp:84-87	Exact release/source setter behavior.
0x008990F0	?GetActiveMemoryUnit@MemoryUnitManager@@SAHXZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663918-1663922;src/game/platform_xbox/MemoryUnit.cpp:90-93	Release returns mActiveMemoryUnit; source returns the same static.
0x008990F0	?GetActiveMemoryUnit@MemoryUnitManager@@SAHXZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663918-1663922;src/game/platform_xbox/MemoryUnit.cpp:90-93	Exact release/source getter behavior.
0x00899140	?GetBuffer@MemoryUnitManager@@SAPAEXZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663948-1663952;src/game/platform_xbox/MemoryUnit.cpp:120-123	Release returns mBuffer; source returns the same static.
0x00899140	?GetBuffer@MemoryUnitManager@@SAPAEXZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663948-1663952;src/game/platform_xbox/MemoryUnit.cpp:120-123	Exact release/source getter behavior.
