ida_ea	name	gate	result	session	date	source_ref	detail
0x007E0520	??0cdBackgroundShaderMat@@QAE@PAUnglTexture@@@Z	V3	PASS	ida-manual-cd-background-20260830	2026-08-30	IDA decompile 0x007E0520; src/render/cdBackgroundShader.cpp:213-232	Real body stores the texture, checks g_cdBackgroundShader, sets the assert context, and binds the shader pointer.
0x007E0520	??0cdBackgroundShaderMat@@QAE@PAUnglTexture@@@Z	V4	PASS	ida-manual-cd-background-20260830	2026-08-30	IDA decompile 0x007E0520; src/render/cdBackgroundShader.cpp:213-232	Release assert-ignore and assert-break paths, message, line, and final shader assignment match source.
0x007E05B0	?InitCDBackgroundShader@@YAXXZ	V3	PASS	ida-manual-cd-background-20260830	2026-08-30	IDA decompile 0x007E05B0; src/render/cdBackgroundShader.cpp:235-251	Release allocation, init-list linkage, disabled flag, shader-switch bit clear, and global assignment are implemented in the port.
0x007E05B0	?InitCDBackgroundShader@@YAXXZ	V4	PASS	ida-manual-cd-background-20260830	2026-08-30	IDA decompile 0x007E05B0; src/render/cdBackgroundShader.cpp:235-251	Release allocates 0x10 bytes, links the object, clears bit 6, and handles allocation failure identically; placement construction preserves the release object initialization.
0x007E0600	?ToggleCDBackgroundShader@@YAXXZ	V3	PASS	ida-manual-cd-background-20260830	2026-08-30	IDA decompile 0x007E0600; src/render/cdBackgroundShader.cpp:256-261	Real body toggles the shared ShaderSwitching bit 6.
0x007E0600	?ToggleCDBackgroundShader@@YAXXZ	V4	PASS	ida-manual-cd-background-20260830	2026-08-30	IDA decompile 0x007E0600; src/render/cdBackgroundShader.cpp:256-261	Release bitwise toggle expression and byte store match source.
0x007E0620	?Register@cdBackgroundShader@@UAEXXZ	V3	PASS	ida-manual-cd-background-20260830	2026-08-30	IDA decompile 0x007E0620; src/render/cdBackgroundShader.cpp:269-277	Real body performs base registration, direct vertex/pixel registrations, and stores all three returned handles.
0x007E0620	?Register@cdBackgroundShader@@UAEXXZ	V4	PASS	ida-manual-cd-background-20260830	2026-08-30	IDA decompile 0x007E0620; src/render/cdBackgroundShader.cpp:269-277	Release registration order, table indices, direct exports, and handle assignments match source.
0x007E0680	?AddNode@cdBackgroundShader@@UAEXPAVnglMeshNode@@PAUnglMeshSection@@PAUnglMaterial@@@Z	V3	PASS	ida-manual-cd-background-20260830	2026-08-30	IDA decompile 0x007E0680; src/render/cdBackgroundShader.cpp:283-301	Real body gates on bit 6, allocates and initializes the 0x18-byte node, links it to the opaque list, and increments the count.
0x007E0680	?AddNode@cdBackgroundShader@@UAEXPAVnglMeshNode@@PAUnglMeshSection@@PAUnglMaterial@@@Z	V4	PASS	ida-manual-cd-background-20260830	2026-08-30	IDA decompile 0x007E0680; src/render/cdBackgroundShader.cpp:283-301	Release gate, allocation/alignment, node field offsets, shader ID/list linkage, and count update match source.
