ida_ea	name	gate	result	session	date	source_ref	detail
0x00684D70	??0ae_heap_wrapper@@QAE@PAUmem_heap@@@Z	V3	PASS	manual-ae-heap-wrapper-20260831	2026-08-31	C:\\cod\\src\\game\\streamer\\pakmanager.cpp:14210;C:\\cod\\c3_bin\\codmp_xboxr.xbe.c:1293883-1293889	Constructor stores the supplied mem_heap pointer in the wrapper after compiler vftable setup.
0x00684D70	??0ae_heap_wrapper@@QAE@PAUmem_heap@@@Z	V4	PASS	manual-ae-heap-wrapper-20260831	2026-08-31	IDA:0x00684D70;C:\\cod\\c3_bin\\codmp_xboxr.xbe.c:1293883-1293889;C:\\cod\\src\\game\\streamer\\pakmanager.cpp:14210	Release assigns ae_heap_wrapper vftable then mHeap = m; source uses the same polymorphic layout and member initialization.
0x00684D90	?Malloc@ae_heap_wrapper@@UAEPAXII@Z	V3	PASS	manual-ae-heap-wrapper-20260831	2026-08-31	C:\\cod\\src\\game\\streamer\\pakmanager.cpp:14219;C:\\cod\\c3_bin\\codmp_xboxr.xbe.c:1293892-1293896	Malloc delegates to the base capacity-checked allocator with this wrapper's heap.
0x00684D90	?Malloc@ae_heap_wrapper@@UAEPAXII@Z	V4	PASS	manual-ae-heap-wrapper-20260831	2026-08-31	IDA:0x00684D90;C:\\cod\\c3_bin\\codmp_xboxr.xbe.c:1293892-1293896;C:\\cod\\src\\game\\streamer\\pakmanager.cpp:14219	Release calls ae_heap_base::MemAlloc(this, s, a, mHeap); source matches the virtual ABI and arguments.
0x00684DB0	?Free@ae_heap_wrapper@@UAEXPAX@Z	V3	PASS	manual-ae-heap-wrapper-20260831	2026-08-31	C:\\cod\\src\\game\\streamer\\pakmanager.cpp:14225;C:\\cod\\c3_bin\\codmp_xboxr.xbe.c:1293898-1293902	Free delegates to the base heap free helper.
0x00684DB0	?Free@ae_heap_wrapper@@UAEXPAX@Z	V4	PASS	manual-ae-heap-wrapper-20260831	2026-08-31	IDA:0x00684DB0;C:\\cod\\c3_bin\\codmp_xboxr.xbe.c:1293898-1293902;C:\\cod\\src\\game\\streamer\\pakmanager.cpp:14225	Release calls ae_heap_base::MemFree(this, ptr, mHeap); source matches.
0x00684DD0	?CheckFree@ae_heap_wrapper@@UAE_NPAX@Z	V3	PASS	manual-ae-heap-wrapper-20260831	2026-08-31	C:\\cod\\src\\game\\streamer\\pakmanager.cpp:14231;C:\\cod\\c3_bin\\codmp_xboxr.xbe.c:1293904-1293908	Checked free delegates to the base bounds-checking helper.
0x00684DD0	?CheckFree@ae_heap_wrapper@@UAE_NPAX@Z	V4	PASS	manual-ae-heap-wrapper-20260831	2026-08-31	IDA:0x00684DD0;C:\\cod\\c3_bin\\codmp_xboxr.xbe.c:1293904-1293908;C:\\cod\\src\\game\\streamer\\pakmanager.cpp:14231	Release calls ae_heap_base::MemCheckFree(this, ptr, mHeap); source matches exactly.
0x00684DF0	?GetHeapPointer@ae_heap_wrapper@@UAEPAUmem_heap@@XZ	V3	PASS	manual-ae-heap-wrapper-20260831	2026-08-31	C:\\cod\\src\\game\\streamer\\pakmanager.cpp:14237;C:\\cod\\c3_bin\\codmp_xboxr.xbe.c:1293910-1293914	Accessor returns the wrapped heap pointer.
0x00684DF0	?GetHeapPointer@ae_heap_wrapper@@UAEPAUmem_heap@@XZ	V4	PASS	manual-ae-heap-wrapper-20260831	2026-08-31	IDA:0x00684DF0;C:\\cod\\c3_bin\\codmp_xboxr.xbe.c:1293910-1293914;C:\\cod\\src\\game\\streamer\\pakmanager.cpp:14237	Release returns this->mHeap; source matches and preserves the virtual slot.
0x00684E30	??1ae_heap_wrapper@@UAE@XZ	V3	PASS	manual-ae-heap-wrapper-20260831	2026-08-31	C:\\cod\\src\\game\\streamer\\pakmanager.cpp:14216;C:\\cod\\c3_bin\\codmp_xboxr.xbe.c:1293916-1293921	The derived destructor has no source-level resource work; the compiler-generated polymorphic teardown delegates to ae_heap_base, while the deleting thunk owns mem_heap_free(this).
0x00684E30	??1ae_heap_wrapper@@UAE@XZ	V4	PASS	manual-ae-heap-wrapper-20260831	2026-08-31	IDA:0x00684E30;C:\\cod\\c3_bin\\codmp_xboxr.xbe.c:1293916-1293921;C:\\cod\\src\\game\\streamer\\pakmanager.cpp:14216	Release vector deleting destructor calls the empty derived destructor and then mem_heap_free(this); the defaulted virtual destructor emits the required base teardown, and cleanup is performed explicitly at the release-equivalent destroy site.
