ida_ea	name	gate	result	session	date	source_ref	detail
0x00829240	?nslWaveBankLoaderInit@@YAXPAUnslWaveBankLoader@@IW4nflFileID@@I@Z	V3	PASS	nsl-loader-manual-20260830	2026-08-30	src/sound/nsl.cpp:3146-3156	Body clears the loader and initializes flags, state, file/request IDs, offset, scratch buffer, and stream ID.
0x00829240	?nslWaveBankLoaderInit@@YAXPAUnslWaveBankLoader@@IW4nflFileID@@I@Z	V4	PASS	nsl-loader-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1566812-1566825	Release loader initialization fields and values match source.
0x00829280	?nslWaveBankLoaderUpdate@@YA?AW4nslWaveBankLoaderState@@PAUnslWaveBankLoader@@@Z	V3	PASS	nsl-loader-manual-20260830	2026-08-30	src/sound/nsl.cpp:3158-3285	Body implements cancellation, header/directory/ARAM async state transitions, validation, allocation, fixup, and release invariant diagnostics.
0x00829280	?nslWaveBankLoaderUpdate@@YA?AW4nslWaveBankLoaderState@@PAUnslWaveBankLoader@@@Z	V4	PASS	nsl-loader-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1566827-1567038	Release state machine, request checks/asserts, invalid-bank/no-memory diagnostics, aligned ARAM allocation, and completion fixup match source.
0x008295E0	?nslWaveBankLoaderCancel@@YAXPAUnslWaveBankLoader@@@Z	V3	PASS	nsl-loader-manual-20260830	2026-08-30	src/sound/nsl.cpp:3287-3295	Body transitions active loads to canceling and cancels an outstanding request.
0x008295E0	?nslWaveBankLoaderCancel@@YAXPAUnslWaveBankLoader@@@Z	V4	PASS	nsl-loader-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1567040-1567053	Release state guard and request cancellation match source.
0x00829610	?nslWaveBankRestoreNames_HNCompare@@YAHPBX0@Z	V3	PASS	nsl-loader-manual-20260830	2026-08-30	src/sound/nsl.cpp:3070-3076	Body compares hash records with the release ordering convention.
0x00829610	?nslWaveBankRestoreNames_HNCompare@@YAHPBX0@Z	V4	PASS	nsl-loader-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1567056-1567064	Release comparator ordering matches source.
0x00829630	?nslWaveBankRestoreNames@@YAXPAUnslWaveBank@@@Z	V3	PASS	nsl-loader-manual-20260830	2026-08-30	src/sound/nsl.cpp:3079-3141	Body validates packed text bounds, hashes text names, sorts them, restores name pointers by hash, and clears the packed-text flag.
0x00829630	?nslWaveBankRestoreNames@@YAXPAUnslWaveBank@@@Z	V4	PASS	nsl-loader-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1567066-1567245	Release bounds checks, hash list construction/sort, hash-error handling, name restoration, and flag clear match source.
