ida_ea	name	signature	source_cpp
0x004C3840	?Cvar_Get@@YAPAUcvar_t@@PBD0H@Z	struct cvar_t * __cdecl Cvar_Get(char const *,char const *,int)	
0x004C3AA0	?Cvar_Set2@@YAPAUcvar_t@@PBD0H@Z	struct cvar_t * __cdecl Cvar_Set2(char const *,char const *,int)	
0x004C3DD0	?Cvar_Set@@YAXPBD0@Z	void __cdecl Cvar_Set(char const *,char const *)	
0x004C3DF0	?Cvar_SetLatched@@YAXPBD0@Z	void __cdecl Cvar_SetLatched(char const *,char const *)	
0x004C3E10	?Cvar_SetValue@@YAXPBDM@Z	void __cdecl Cvar_SetValue(char const *,float)	
0x004C3E80	?Cvar_Reset@@YAXPBD@Z	void __cdecl Cvar_Reset(char const *)	
0x004C3EA0	?Cvar_Update@@YAXPAUvmCvar_t@@@Z	void __cdecl Cvar_Update(struct vmCvar_t *)	
0x004C3F90	?Cvar_VariableValue@@YAMPBD@Z	float __cdecl Cvar_VariableValue(char const *)	
0x004C3FB0	?Cvar_VariableIntegerValue@@YAHPBD@Z	int __cdecl Cvar_VariableIntegerValue(char const *)	
0x004C3FD0	?Cvar_VariableString@@YAPADPBD@Z	char * __cdecl Cvar_VariableString(char const *)	
0x004C3FF0	?Cvar_VariableStringBuffer@@YAXPBDPADH@Z	void __cdecl Cvar_VariableStringBuffer(char const *,char *,int)	
0x004C4020	?Cvar_SetCheatState@@YAXXZ	void __cdecl Cvar_SetCheatState(void)	
0x004C4090	?Cvar_Command@@YAHXZ	int __cdecl Cvar_Command(void)	
0x004C4110	?Cvar_Toggle_f@@YAXXZ	void __cdecl Cvar_Toggle_f(void)	
0x004C4230	?Cvar_Set_f@@YAXXZ	void __cdecl Cvar_Set_f(void)	
0x004C4330	?Cvar_SetS_f@@YAXXZ	void __cdecl Cvar_SetS_f(void)	
0x004C4370	?Cvar_SetA_f@@YAXXZ	void __cdecl Cvar_SetA_f(void)	
0x004C43B0	?Cvar_SetFromCvar_f@@YAXXZ	void __cdecl Cvar_SetFromCvar_f(void)	
0x004C4400	?Cvar_Reset_f@@YAXXZ	void __cdecl Cvar_Reset_f(void)	
0x004C4430	?Cvar_Restart_f@@YAXXZ	void __cdecl Cvar_Restart_f(void)	
0x004C44C0	?Cvar_AddCommands@@YAXXZ	void __cdecl Cvar_AddCommands(void)	
0x004C4550	?ResetConstraints@DbQuery@@AAEXXZ	private: void __thiscall DbQuery::ResetConstraints(void)	
0x004C4570	?AcceptMatchingLeaf@DbQuery@@IAEXPBVDbGraphNode@@AAVDbQueryResults@@@Z	protected: void __thiscall DbQuery::AcceptMatchingLeaf(class DbGraphNode const *,class DbQueryResults &)	
0x004C4640	?Reset@DbQuery@@QAEXXZ	public: void __thiscall DbQuery::Reset(void)	
0x004C4660	?CompareField@DbQuery@@IAEHHPBX@Z	protected: int __thiscall DbQuery::CompareField(int,void const *)	
0x004C48D0	?TestField@DbQuery@@IAE_NHPBX@Z	protected: bool __thiscall DbQuery::TestField(int,void const *)	
0x004C4DD0	?FindMatches@DbQuery@@MAEXAAVDbQueryResults@@@Z	protected: virtual void __thiscall DbQuery::FindMatches(class DbQueryResults &)	
0x004C5500	?DecodeBank@DbTablesetMgr@@QAEXPBDPAEHW4TPakId@@@Z	public: void __thiscall DbTablesetMgr::DecodeBank(char const *,unsigned char *,int,enum TPakId)	
0x004C5530	?DecodeDialogueBank@DialogueManager@@QAEXPBDPAEHW4TPakId@@@Z	public: void __thiscall DialogueManager::DecodeDialogueBank(char const *,unsigned char *,int,enum TPakId)	
0x004C55B0	?GetDialogue@DialogueManager@@QBEPBDI@Z	public: char const * __thiscall DialogueManager::GetDialogue(unsigned int)const 	
0x004C5690	?DecodeDialogueBank@@YAXPBDPAEHW4TPakId@@PAVPakFile@@@Z	void __cdecl DecodeDialogueBank(char const *,unsigned char *,int,enum TPakId,class PakFile *)	
0x004C56B0	?GetActiveEffectSet@EffectEventSys@@QAEPAVActiveEffectSet@@VHandle@@@Z	public: class ActiveEffectSet * __thiscall EffectEventSys::GetActiveEffectSet(class Handle)	
0x004C56F0	??0RumbleManager@@QAE@H@Z	public: __thiscall RumbleManager::RumbleManager(int)	
0x004C5750	?Play@RumbleManager@@QAE?AVRumbleEffectInstanceHandle@@ABVRumbleEffect@@M@Z	public: class RumbleEffectInstanceHandle __thiscall RumbleManager::Play(class RumbleEffect const &,float)	
0x004C5980	?Play@RumbleManager@@QAE?AVRumbleEffectInstanceHandle@@ABVRumbleEffect@@MMM@Z	public: class RumbleEffectInstanceHandle __thiscall RumbleManager::Play(class RumbleEffect const &,float,float,float)	
0x004C59C0	?GetDebugString@AbstractEffectParticle@@UBE?AVstring@Broc@@XZ	public: virtual class Broc::string __thiscall AbstractEffectParticle::GetDebugString(void)const 	
0x004C5AA0	?ParseTlAssertString@TlSystemCallbacks@@CA_NPBDAAV?$ae_fixed_string@$0BAA@G@@11AAH@Z	private: static bool __cdecl TlSystemCallbacks::ParseTlAssertString(char const *,class ae_fixed_string<256,unsigned short> &,class ae_fixed_string<256,unsigned short> &,class ae_fixed_string<256,unsigned short> &,int &)	
0x004C5C60	??0ConfigStringManager@@AAE@XZ	private: __thiscall ConfigStringManager::ConfigStringManager(void)	
0x004C5C80	?DecodeBank@ConfigStringManager@@QAEXPBDPAEHW4TPakId@@@Z	public: void __thiscall ConfigStringManager::DecodeBank(char const *,unsigned char *,int,enum TPakId)	
0x004C5CB0	?DecodeConfigStrings@@YAXPBDPAEHW4TPakId@@PAVPakFile@@@Z	void __cdecl DecodeConfigStrings(char const *,unsigned char *,int,enum TPakId,class PakFile *)	
0x004C5CE0	??0STBManager@@AAE@XZ	private: __thiscall STBManager::STBManager(void)	
