check	type	field	expected	source	line	status
offsetof	cdlConvex	m_surfaceFlags	0x04	src\core\cdl_types.h	89	COMPILE_ASSERT_PRESENT
offsetof	cdlConvex	m_contentFlags	0x08	src\core\cdl_types.h	90	COMPILE_ASSERT_PRESENT
offsetof	cdlConvex	m_checkCount	0x0C	src\core\cdl_types.h	91	COMPILE_ASSERT_PRESENT
offsetof	cdlConvex	m_sphere	0x10	src\core\cdl_types.h	92	COMPILE_ASSERT_PRESENT
offsetof	cdlConvex	m_dims	0x20	src\core\cdl_types.h	93	COMPILE_ASSERT_PRESENT
sizeof	cdlAABB		0x30	src\core\cdl_types.h	101	COMPILE_ASSERT_PRESENT
sizeof	cdlSphere		0x30	src\core\cdl_types.h	109	COMPILE_ASSERT_PRESENT
sizeof	cdl_cinfo2		0x30	src\core\cdl_types.h	122	COMPILE_ASSERT_PRESENT
offsetof	cdl_cinfo2	pa	0x00	src\core\cdl_types.h	123	COMPILE_ASSERT_PRESENT
offsetof	cdl_cinfo2	pb	0x10	src\core\cdl_types.h	124	COMPILE_ASSERT_PRESENT
offsetof	cdl_cinfo2	ni	0x20	src\core\cdl_types.h	125	COMPILE_ASSERT_PRESENT
sizeof	Color32		4	src\core\color.h	28	COMPILE_ASSERT_PRESENT
sizeof	Color		0x10	src\core\color.h	52	COMPILE_ASSERT_PRESENT
sizeof	DiagMat33		0x10	src\core\math_types.h	44	COMPILE_ASSERT_PRESENT
sizeof	Dir3		0x10	src\core\math_types.h	104	COMPILE_ASSERT_PRESENT
sizeof	Dir3::Constant		0x10	src\core\math_types.h	105	COMPILE_ASSERT_PRESENT
sizeof	Dir3::Packed		0x0C	src\core\math_types.h	106	COMPILE_ASSERT_PRESENT
sizeof	Position3		0x10	src\core\math_types.h	164	COMPILE_ASSERT_PRESENT
sizeof	Position3::Constant		0x10	src\core\math_types.h	165	COMPILE_ASSERT_PRESENT
sizeof	Position3::Packed		0x0C	src\core\math_types.h	166	COMPILE_ASSERT_PRESENT
sizeof	Vector4		0x10	src\core\math_types.h	298	COMPILE_ASSERT_PRESENT
sizeof	Mat43		0x40	src\core\math_types.h	357	COMPILE_ASSERT_PRESENT
sizeof	Mat43::Packed		0x30	src\core\math_types.h	358	COMPILE_ASSERT_PRESENT
sizeof	Mat33		0x30	src\core\math_types.h	390	COMPILE_ASSERT_PRESENT
sizeof	Mat44		0x40	src\core\math_types.h	446	COMPILE_ASSERT_PRESENT
sizeof	TranMat43		0x10	src\core\math_types.h	489	COMPILE_ASSERT_PRESENT
sizeof	Quaternion		0x10	src\core\math_types.h	511	COMPILE_ASSERT_PRESENT
sizeof	ae_heap_base		4	src\core\memory_types.h	26	COMPILE_ASSERT_PRESENT
sizeof	ae_heap_wrapper		8	src\core\memory_types.h	38	COMPILE_ASSERT_PRESENT
