check	type	field	expected	source	line	status
sizeof	Config		0x0C	src\aeps\apsMemory.h	50	COMPILE_ASSERT_PRESENT
sizeof	PoolBlock		8	src\aeps\apsMemory.h	77	COMPILE_ASSERT_PRESENT
sizeof	Stats		0x48	src\aeps\apsMemory.h	109	COMPILE_ASSERT_PRESENT
sizeof	Pool		0x24	src\aeps\apsMemory.h	138	COMPILE_ASSERT_PRESENT
sizeof	BlockAllocator		4	src\aeps\apsMemory.h	152	COMPILE_ASSERT_PRESENT
sizeof	BlockManager		0x1C	src\aeps\apsMemory.h	183	COMPILE_ASSERT_PRESENT
sizeof	PoolAllocator<int>		0x2C	src\aeps\apsMemory.h	231	COMPILE_ASSERT_PRESENT
sizeof	apsParam		0x10	src\aeps\apsParam.h	61	COMPILE_ASSERT_PRESENT
sizeof	MeshParticleContext		0xD0	src\aeps\apsParticleTypes.h	18	COMPILE_ASSERT_PRESENT
sizeof	ShrimpParticle		0x20	src\aeps\apsParticleTypes.h	28	COMPILE_ASSERT_PRESENT
sizeof	MeshParticle		0x20	src\aeps\apsParticleTypes.h	35	COMPILE_ASSERT_PRESENT
sizeof	apsRectangleNode		0xC0	src\aeps\apsRectangleRenderer.h	22	COMPILE_ASSERT_PRESENT
sizeof	apsRectangleRenderer		0x80	src\aeps\apsRectangleRenderer.h	40	COMPILE_ASSERT_PRESENT
sizeof	apsRenderNode		0xB0	src\aeps\apsRenderNode.h	68	COMPILE_ASSERT_PRESENT
sizeof	apsShrimpNode		0xC0	src\aeps\apsShrimpRenderer.h	46	COMPILE_ASSERT_PRESENT
sizeof	apsShrimpRenderer		0x40	src\aeps\apsShrimpRenderer.h	101	COMPILE_ASSERT_PRESENT
sizeof	apsSimpleMeshShader		0x10	src\aeps\apsSimpleMeshRenderer.h	35	COMPILE_ASSERT_PRESENT
sizeof	apsSimpleMeshNode		0xC0	src\aeps\apsSimpleMeshRenderer.h	50	COMPILE_ASSERT_PRESENT
sizeof	apsSimpleMeshRenderer		0x18	src\aeps\apsSimpleMeshRenderer.h	78	COMPILE_ASSERT_PRESENT
sizeof	apsSphereDomain		0x20	src\aeps\apsSuppliedDomains.h	55	COMPILE_ASSERT_PRESENT
sizeof	apsYHemisphereDomain		0x20	src\aeps\apsSuppliedDomains.h	71	COMPILE_ASSERT_PRESENT
