index	ida_ea	va	name	lib	obj	class	source_cpp	flags	is_inline	aggregate_status	status_basis	debug_symbol	debug_symbol_compat	verification
31	0x00448F50	0x00838450	?IntermissionClientEndFrame@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
32	0x00448FB0	0x008384B0	?G_ClientCanSpectateTeam@@YAHPAVEntity@@W4team_t@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
33	0x00448FE0	0x008384E0	?GetFollowPlayerState@@YAHHPAVPlayerState@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
34	0x00449060	0x00838560	?G_GetActorProneInfo@@YAPAUactor_prone_info_t@@PAUactor_s@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
35	0x004490D0	0x008385D0	?G_InitActorProneInfo@@YAXPAUactor_s@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
36	0x00449100	0x00838600	?G_ActorExitProne@@YAXPAUactor_s@@H@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
37	0x004491D0	0x008386D0	?G_ReduceOriginError@@YAXQAM0M@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	NO	YES	VERIFIED
38	0x004492B0	0x008387B0	?G_ReduceAnglesError@@YAXQAM0MM@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	NO	YES	VERIFIED
39	0x00449350	0x00838850	?GScr_GetStartOrigin@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
40	0x00449360	0x00838860	?GScr_GetStartAngles@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
41	0x00449370	0x00838870	?GScr_GetCycleOriginOffset@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
42	0x00449380	0x00838880	?G_SetupSpawnPoint@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
43	0x004493B0	0x008388B0	?SP_info_player_start@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
44	0x00449410	0x00838910	?SP_intermission@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
45	0x00449440	0x00838940	?SP_deathmatch@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
46	0x00449490	0x00838990	?SP_teamdeathmatch@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
47	0x004494E0	0x008389E0	?SP_ctf_allies_primary@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
48	0x00449530	0x00838A30	?SP_ctf_allies_secondary@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
49	0x00449580	0x00838A80	?SP_ctf_axis_primary@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
50	0x004495D0	0x00838AD0	?SP_ctf_axis_secondary@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
51	0x00449620	0x00838B20	?SP_hq_allies_primary@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
52	0x00449670	0x00838B70	?SP_hq_allies_secondary@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
53	0x004496C0	0x00838BC0	?SP_hq_axis_primary@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
54	0x00449710	0x00838C10	?SP_hq_axis_secondary@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
55	0x00449760	0x00838C60	?HQ_Point@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
56	0x004497B0	0x00838CB0	?SP_single_ctf_allies@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
57	0x00449800	0x00838D00	?SP_single_ctf_axis@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
58	0x00449850	0x00838D50	?SP_dom_allies@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
59	0x004498A0	0x00838DA0	?SP_dom_axis@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
60	0x004498F0	0x00838DF0	?SP_war_allies@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
61	0x00449940	0x00838E40	?SP_war_axis@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
62	0x00449990	0x00838E90	?SP_sd_allies@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
63	0x004499E0	0x00838EE0	?SP_sd_axis@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
64	0x00449A30	0x00838F30	?SetClientOrigin@@YAXPAVEntity@@QBM@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	NO	YES	VERIFIED
65	0x00449BC0	0x008390C0	?SetClientViewAngle@@YAXPAVEntity@@QBM@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	NO	YES	VERIFIED
66	0x00449F50	0x00839450	?respawn@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
67	0x00449F60	0x00839460	?ChangePlayersMaxHealth@@YAXH@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
68	0x0044A000	0x00839500	?G_SetPlayerSize@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
69	0x0044A050	0x00839550	?G_AddLean@@YAXPAVEntity@@QAM@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	NO	YES	VERIFIED
70	0x0044A190	0x00839690	?G_FindInvalidatedNode@@YAHPAVEntity@@PBUPathNode@PathNodes@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
71	0x0044A230	0x00839730	?G_UpdateInvalidatedNode@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
72	0x0044A240	0x00839740	?CheatsOk@@YAHPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
73	0x0044A290	0x00839790	?ConcatArgs@@YAPADH@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
74	0x0044A340	0x00839840	?SanitizeString@@YAXPAD0@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
75	0x0044A390	0x00839890	?Cmd_Take_f@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
76	0x0044A780	0x00839C80	?Cmd_Invinc_f@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
77	0x0044A7A0	0x00839CA0	?Cmd_God_f@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
78	0x0044A850	0x00839D50	?Cmd_Notarget_f@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
79	0x0044A900	0x00839E00	?Cmd_Noclip_f@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
80	0x0044A9C0	0x00839EC0	?Cmd_UFO_f@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
81	0x0044AA60	0x00839F60	?G_canPickupMelee@@YAHPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
82	0x0044AAB0	0x00839FB0	?Cmd_SetSpawnPoint_f@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
83	0x0044AAF0	0x00839FF0	?Cmd_NGLStats_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
84	0x0044AB00	0x0083A000	?Cmd_NGLStatDisplay_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
85	0x0044AB10	0x0083A010	?Cmd_ProfileShaders_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
86	0x0044AB20	0x0083A020	?Cmd_ProfileNodes_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
87	0x0044AB30	0x0083A030	?Cmd_NGLFPSDisplay_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
88	0x0044AB50	0x0083A050	?Cmd_Wireframe_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
89	0x0044AB70	0x0083A070	?Cmd_Fullbright_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
90	0x0044AB90	0x0083A090	?Cmd_SolidColor_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
91	0x0044ABB0	0x0083A0B0	?Cmd_TextureSize_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
92	0x0044ABD0	0x0083A0D0	?Cmd_TextureMip_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
93	0x0044AC10	0x0083A110	?Cmd_TextureTiling_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
94	0x0044AC30	0x0083A130	?Cmd_ToggleShader_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
95	0x0044AC90	0x0083A190	?Cmd_TestFPS@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
96	0x0044ACB0	0x0083A1B0	?Cmd_KillSound@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
97	0x0044ACC0	0x0083A1C0	?Cmd_MemPools_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
98	0x0044AD10	0x0083A210	?Cmd_ShotProf_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
99	0x0044AD60	0x0083A260	?Cmd_BuilderTest_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
100	0x0044ADE0	0x0083A2E0	?Cmd_ClientCommandCompletion@@YAXP6AXPBD@Z@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
101	0x0044AE30	0x0083A330	?Cmd_Thread_Debug_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
102	0x0044AE40	0x0083A340	?Cmd_EntityStats_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
103	0x0044AEA0	0x0083A3A0	?Cmd_PFXStats_f@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
104	0x0044AF10	0x0083A410	?handleDeathInvulnerability@@YAXPAVEntity@@HH@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
105	0x0044AF20	0x0083A420	?CheckArmor@@YAHPAVEntity@@HH@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
106	0x0044AF50	0x0083A450	?G_GetHitLocationString@@YAIW4hitLocation_t@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
107	0x0044B0F0	0x0083A5F0	?HudElem_Alloc@@YAPAUgame_hudelem_s@@XZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
108	0x0044B120	0x0083A620	?HudElem_UpdateClient@@YAXPAUClient@@H@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
109	0x0044B130	0x0083A630	?Fill_Clip@@YAXPAVPlayerState@@H@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
110	0x0044B1A0	0x0083A6A0	?Add_Ammo@@YAHPAVEntity@@HHH@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
111	0x0044B560	0x0083AA60	?ClearRegisteredItems@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
112	0x0044B580	0x0083AA80	?SaveRegisteredItems@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
113	0x0044B630	0x0083AB30	?RegisterItem@@YAXHH@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
114	0x0044B6F0	0x0083ABF0	?IsItemRegistered@@YAHH@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
115	0x0044B750	0x0083AC50	?G_GetServerSnapTime@@YAHXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
116	0x0044B760	0x0083AC60	?G_Printf@@YAXPBDZZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
117	0x0044B790	0x0083AC90	?G_DPrintf@@YAXPBDZZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
118	0x0044B7D0	0x0083ACD0	?G_Error@@YAXPBDZZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
119	0x0044B840	0x0083AD40	?G_Error_Localized@@YAXPBDZZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
120	0x0044B8B0	0x0083ADB0	?G_EndGame@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
121	0x0044B8C0	0x0083ADC0	?G_RegisterCvars@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
122	0x0044B950	0x0083AE50	?InitCvars@@YAXH@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
123	0x0044B9F0	0x0083AEF0	?G_CheckReloadStatus@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
124	0x0044BA00	0x0083AF00	?G_RunPreFrame@@YAXH@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
125	0x0044BA30	0x0083AF30	?UpdateCVars@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
126	0x0044BA90	0x0083AF90	?G_SendClientMessages@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
127	0x0044BAB0	0x0083AFB0	?GetScratchPad@@YAPAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
128	0x0044BAC0	0x0083AFC0	?InvalidateTurretCaches@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
129	0x0044BAD0	0x0083AFD0	?SP_sound_blend@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
130	0x0044BB10	0x0083B010	?G_InitTurrets@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
131	0x0044BB30	0x0083B030	?turret_clientaim@@YAXPAVEntity@@0@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
132	0x0044BE60	0x0083B360	?turret_IsFiringInternal@@YAHH@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
133	0x0044BE70	0x0083B370	?turret_IsFiring@@YAHPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
134	0x0044BED0	0x0083B3D0	?turret_SetTargetEnt@@YAXPAVEntity@@0@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
135	0x0044BF80	0x0083B480	?turret_behind@@YAHPAVEntity@@0@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
136	0x0044C100	0x0083B600	?G_IsTurretUsable@@YAHPAVEntity@@0@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
137	0x0044C1B0	0x0083B6B0	?G_MissileLandAngles@@YAXPAVEntity@@PAUtrace_t@@AAVPosition3@math@@H@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
138	0x0044C390	0x0083B890	?G_LaunchMissile@@YAXPAVEntity@@H@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
139	0x0044C3F0	0x0083B8F0	?G_IncomingMissile@@YAXPAVEntity@@H@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
140	0x0044C430	0x0083B930	?G_DelayMissile@@YAXPAVEntity@@H@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
141	0x0044C4B0	0x0083B9B0	?G_MissileDie@@YAXPAVEntity@@00HH@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
142	0x0044C4E0	0x0083B9E0	?G_PredictBounceMissile@@YAXPBVEntity@@PAUtrajectory_t@@PAUtrace_t@@H@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
143	0x0044C6B0	0x0083BBB0	?Die_MineDamaged@@YAXPAVEntity@@00HHHQBM1W4hitLocation_t@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
144	0x0044C6E0	0x0083BBE0	?G_CreateRotationMatrix@@YAXQBMQAY02M@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	NO	YES	VERIFIED
145	0x0044C710	0x0083BC10	?G_TransposeMatrix@@YAXQAY02M0@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	NO	YES	VERIFIED
146	0x0044C750	0x0083BC50	?G_RotatePoint@@YAXAAVPosition3@math@@QAY02M@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	NO	YES	VERIFIED
147	0x0044C7E0	0x0083BCE0	?UpdatePaths@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
148	0x0044C830	0x0083BD30	?finishSpawningKeyedMover@@YAXPAVEntity@@H@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
149	0x0044C8C0	0x0083BDC0	?Static_Pain@@YAXPAVEntity@@0HQBMH1W4hitLocation_t@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
150	0x0044CA80	0x0083BF80	?use_trigger_use@@YAXPAVEntity@@00@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
151	0x0044CAE0	0x0083BFE0	?Scr_FreeFields@@YAXPBUsaveField_t@@PAE@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
152	0x0044CB30	0x0083C030	?Scr_FreeSentientFields@@YAXPAUsentient_s@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
153	0x0044CB50	0x0083C050	?Scr_FreeActorFields@@YAXPAUactor_s@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
154	0x0044CB70	0x0083C070	?GScr_AllocHash@@YA?AVHashString@@PBD@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
155	0x0044CBA0	0x0083C0A0	?GScr_LoadConsts@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
156	0x0044CC00	0x0083C100	?GScr_LoadScriptAndLabel@@YAHPBD0H@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
157	0x0044CD20	0x0083C220	?GScr_LoadSingleAnimScript@@YAXPAUscr_animscript_t@@PBD@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
158	0x0044CD70	0x0083C270	?GScr_FixupBroAnimScriptHooks@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
159	0x0044CD90	0x0083C290	?GScr_AddFieldsForVehicleNode@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
160	0x0044CDD0	0x0083C2D0	?GScr_FreeScripts@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
161	0x0044CDE0	0x0083C2E0	?Scr_ConstructMessageString@@YAXHPADHW4conMsgType_t@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
162	0x0044CE30	0x0083C330	?Scr_LocalizationError@@YAXHPBD@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
163	0x0044CE40	0x0083C340	?G_GetHintStringIndex@@YAHPAHPBD@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
164	0x0044CF00	0x0083C400	?G_InitObjectives@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
165	0x0044D2B0	0x0083C7B0	?SP_script_prop_collmap@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
166	0x0044D2D0	0x0083C7D0	?G_SetupProps@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
