index	ida_ea	va	name	lib	obj	class	source_cpp	flags	is_inline	aggregate_status	status_basis	debug_symbol	debug_symbol_compat	verification
1	0x00448920	0x00837E20	??0Color@@QAE@XZ		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
2	0x00448930	0x00837E30	??0Color@@QAE@MMMM@Z		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
3	0x00448970	0x00837E70	??0Color@@QAE@ABV0@@Z		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
4	0x004489A0	0x00837EA0	??4Color@@QAEAAV0@ABV0@@Z		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
5	0x004489D0	0x00837ED0	?Inst@DebugRender@@SAPAV1@XZ		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
6	0x004489E0	0x00837EE0	??2@YAPAXIPAX@Z		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
7	0x004489F0	0x00837EF0	??3@YAXPAX0@Z		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
8	0x00448A00	0x00837F00	?c_str@InplaceString@@QBEPBDXZ		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
9	0x00448A10	0x00837F10	??BInplaceString@@QBEPBDXZ		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
10	0x00448A20	0x00837F20	??MInplaceString@@QBE_NPBD@Z		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
11	0x00448A50	0x00837F50	??8InplaceString@@QBE_NPBD@Z		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
12	0x00448A80	0x00837F80	??9InplaceString@@QBE_NPBD@Z		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
13	0x00448AB0	0x00837FB0	?Inst@StreamZoneManager@@SAPAV1@XZ		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
14	0x00448AC0	0x00837FC0	?GetLastCellNum@StreamZoneManager@@QBEHXZ		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
15	0x00448AD0	0x00837FD0	?GetInitialCell@StreamZoneManager@@QBEHXZ		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
16	0x00448AE0	0x00837FE0	?GetInitialPosition@StreamZoneManager@@QBE?AVPosition3@math@@XZ		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
17	0x00448B20	0x00838020	?Inst@ServerTime@@SAPAV1@XZ		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
18	0x00448B30	0x00838030	?GetTickMSec@ServerTime@@QBEHXZ		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
19	0x00448B40	0x00838040	?GetTickDelta@ServerTime@@QBEMXZ		g.o	game		f i	1	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
20	0x00448B50	0x00838050	?Init@StatusBar@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
21	0x00448B70	0x00838070	?RenderResources@MemGraph@@YAXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
22	0x00448B80	0x00838080	?Init@DObjHandleDb@@QAEXXZ		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
23	0x00448BB0	0x008380B0	?Player_CheckFriendlyFireUse@@YA_NPAVPlayerState@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
24	0x00448BD0	0x008380D0	?G_SetClientSound@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
25	0x00448BE0	0x008380E0	?GetEntityTouchTriggerType@@YAHPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
26	0x00448E40	0x00838340	?G_RunClient@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
27	0x00448E50	0x00838350	?G_SetClientContents@@YAXPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
28	0x00448F00	0x00838400	?ClientInactivityTimer@@YAHPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
29	0x00448F10	0x00838410	?ClientSpectatorInactivityTimer@@YAHPAVEntity@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
30	0x00448F20	0x00838420	?ClientIntermissionThink@@YAXPAVEntity@@PAUusercmd_s@@@Z		g.o	game		f	0	PORTED	PROGRESS object aggregate	YES	YES	VERIFIED
