obj	rows	V0	V1	V2	V3	V4	V5
bdLogSubscriber.obj	5	5	0	0	0	0	0
bdLoopbackConnection.obj	37	30	4	3	0	0	0
bdMallocMemory.obj	6	6	0	0	0	0	0
bdMemory.obj	23	23	0	0	0	0	0
bdMessage.obj	25	19	1	5	0	0	0
bdMutex.obj	4	4	0	0	0	0	0
bdNet-xbox.obj	49	36	5	8	0	0	0
bdPacket.obj	32	26	2	4	0	0	0
bdPlatformMutex-xbox.obj	4	4	0	0	0	0	0
bdPlatformSocket-win32.obj	8	0	4	4	0	0	0
bdPlatformSocket.obj	5	0	0	5	0	0	0
bdPlatformTiming-xbox.obj	5	5	0	0	0	0	0
bdPlatformTrulyRandom-xbox.obj	1	0	1	0	0	0	0
bdQoSProbe-xbox.obj	54	44	2	8	0	0	0
bdQoSProbeListener.obj	4	4	0	0	0	0	0
bdRandom.obj	7	7	0	0	0	0	0
bdReceivedMessage.obj	4	1	0	3	0	0	0
bdReferencable.obj	1	1	0	0	0	0	0
bdReliableReceiveWindow.obj	19	14	1	4	0	0	0
bdReliableSendWindow.obj	24	15	3	6	0	0	0
bdSAckChunk.obj	26	16	4	6	0	0	0
bdSecurityKey-xbox.obj	6	0	0	6	0	0	0
bdSequenceNumber.obj	14	13	0	1	0	0	0
bdSession.obj	169	129	11	29	0	0	0
bdSessionHandler.obj	5	4	0	1	0	0	0
bdSessionInfo.obj	3	1	2	0	0	0	0
bdSessionInterceptor.obj	4	4	0	0	0	0	0
bdSessionListener.obj	12	2	0	10	0	0	0
bdShortTimer.obj	4	4	0	0	0	0	0
bdShutdownAckChunk.obj	8	4	2	2	0	0	0
bdShutdownChunk.obj	8	4	2	2	0	0	0
bdShutdownCompleteChunk.obj	8	4	2	2	0	0	0
bdSocket.obj	12	3	3	6	0	0	0
bdSocketRouter-xbox.obj	25	16	2	7	0	0	0
bdStopwatch.obj	7	2	0	5	0	0	0
bdString.obj	30	29	0	1	0	0	0
bdTrulyRandom.obj	3	1	1	1	0	0	0
bdUnicastConnection.obj	152	143	5	4	0	0	0
bdUnreliableReceiveWindow.obj	7	3	1	3	0	0	0
bdUnreliableSendWindow.obj	32	28	1	3	0	0	0
cdAirplaneMetalShader.o	21	18	0	3	0	0	0
cdBackgroundShader.o	24	20	0	4	0	0	0
cdCharShader.o	24	21	0	3	0	0	0
cdCharSpecularShader.o	24	21	0	3	0	0	0
cdDebugShader.o	26	20	0	6	0	0	0
cdDebugVertexDef.o	7	5	0	2	0	0	0
cdDecalShader.o	22	18	0	4	0	0	0
cdDynamicDecalShader.o	37	34	0	3	0	0	0
cdDynamicDecalVertexDef.o	2	0	1	1	0	0	0
cdFlagShader.o	42	39	0	3	0	0	0
cdGlassShader.o	25	22	0	3	0	0	0
cdGlowShader.o	50	41	6	3	0	0	0
cdGunShader.o	24	21	0	3	0	0	0
cdGunSightShader.o	22	18	0	4	0	0	0
cdGunSightSpecularShader.o	22	19	0	3	0	0	0
cdHeatHazeShader.o	20	18	0	2	0	0	0
cdOceanGlobals.o	19	5	0	14	0	0	0
cdOceanShader.o	23	15	1	7	0	0	0
cdPrelitShader.o	25	22	0	3	0	0	0
cdPropellerShader.o	22	19	0	3	0	0	0
cdRiverShader.o	37	29	1	7	0	0	0
cdScratchShader.o	46	37	0	9	0	0	0
cdScratchVertexDef.o	2	0	0	2	0	0	0
cdSimpleAlphaShader.o	31	28	0	3	0	0	0
cdSimpleColorShader.o	13	9	0	4	0	0	0
cdSimpleInstance.o	17	10	0	7	0	0	0
cdSimplePrelitShader.o	19	15	0	4	0	0	0
cdSimpleShader.o	17	14	0	3	0	0	0
cdSimpleSpecularShader.o	24	19	0	5	0	0	0
cdSimpleUVAnimShader.o	40	35	1	4	0	0	0
cdSkyShader.o	22	19	0	3	0	0	0
cdWaterShader.o	21	18	0	3	0	0	0
cdWheelMarkShader.o	33	27	0	6	0	0	0
cdWorldBlendPointLitShader.o	34	31	0	3	0	0	0
cdWorldBlendShader.o	31	28	0	3	0	0	0
cdWorldColorShader.o	13	10	0	3	0	0	0
cdWorldPointLitShader.o	31	28	0	3	0	0	0
cdWorldShader.o	27	19	4	4	0	0	0
cdWorldVertexLitShader.o	25	21	0	4	0	0	0
cdl_base.o	2	1	0	1	0	0	0
cdl_common.o	16	7	5	4	0	0	0
cdl_gjk.o	10	5	5	0	0	0	0
cg.o	405	38	96	245	0	26	0
cl.o	341	17	40	284	0	0	0
compress.o	3	3	0	0	0	0	0
controller.o	11	11	0	0	0	0	0
controller_xbox.o	16	15	0	1	0	0	0
core.o	1437	728	76	633	0	0	0
crc32.o	3	3	0	0	0	0	0
deflate.o	12	12	0	0	0	0	0
dlmalloc.o	15	15	0	0	0	0	0
g.o	1470	708	0	761	0	1	0
game.o	1158	515	10	633	0	0	0
game2.o	1040	454	88	488	8	2	0
game_xbox.o	365	166	91	108	0	0	0
inffast.o	1	1	0	0	0	0	0
inflate.o	11	11	0	0	0	0	0
inftrees.o	1	1	0	0	0	0	0
jobqueue.o	26	9	0	17	0	0	0
jobqueue_legacy.o	11	8	0	3	0	0	0
mem_lib.o	47	33	2	12	0	0	0
mem_lib_platform.o	11	11	0	0	0	0	0
mp.o	1142	449	5	688	0	0	0
mp_actors.o	436	71	0	365	0	0	0
mp_anim_wad.o	430	239	189	2	0	0	0
mp_level_wad.o	1062	1042	2	15	0	3	0
mp_shell.o	835	238	0	597	0	0	0
mp_util_wad.o	1283	702	241	340	0	0	0
mp_xbox.o	77	25	12	40	0	0	0
nal_anim.o	29	20	5	4	0	0	0
nal_cache.o	7	0	4	3	0	0	0
nal_generic.o	68	31	23	14	0	0	0
nal_generic_component.o	36	31	0	5	0	0	0
nal_ik.o	2	2	0	0	0	0	0
nal_init.o	899	681	208	10	0	0	0
nal_initlist.o	1	1	0	0	0	0	0
nal_math.o	1	1	0	0	0	0	0
nal_sceneanim.o	10	6	1	3	0	0	0
nal_skeleton.o	10	0	7	3	0	0	0
nal_stream.o	18	12	1	5	0	0	0
nextgen.o	8	0	8	0	0	0	0
nfl_common.o	10	10	0	0	0	0	0
nfl_debug.o	12	12	0	0	0	0	0
nfl_driver.o	4	4	0	0	0	0	0
nfl_system.o	53	53	0	0	0	0	0
nfl_win32_driver.o	9	9	0	0	0	0	0
nfl_xbox_driver.o	1	1	0	0	0	0	0
ngl_aux.o	164	150	4	10	0	0	0
ngl_debug.o	62	15	0	47	0	0	0
ngl_debugdraw.o	11	6	0	5	0	0	0
ngl_dx_buf.o	4	0	0	4	0	0	0
ngl_dx_core.o	43	20	0	23	0	0	0
ngl_dx_debug.o	5	0	0	5	0	0	0
ngl_dx_draw.o	2	0	0	2	0	0	0
ngl_dx_filters.o	28	16	0	12	0	0	0
ngl_dx_font.o	2	0	0	2	0	0	0
ngl_dx_fsaa.o	2	0	1	1	0	0	0
ngl_dx_mesh.o	4	0	0	4	0	0	0
ngl_dx_quad.o	11	8	0	3	0	0	0
ngl_dx_scene.o	27	13	1	13	0	0	0
ngl_dx_scenedump.o	3	0	0	3	0	0	0
ngl_dx_shader.o	18	10	0	8	0	0	0
ngl_dx_state.o	5	0	0	5	0	0	0
ngl_dx_tex_create.o	17	6	0	11	0	0	0
ngl_dx_texture.o	17	6	1	10	0	0	0
ngl_font.o	27	11	0	16	0	0	0
ngl_gpu.o	32	19	0	13	0	0	0
ngl_gpu_debug.o	4	1	1	2	0	0	0
ngl_gpu_meshedit.o	14	1	0	13	0	0	0
ngl_gpu_texture.o	17	15	2	0	0	0	0
ngl_internal.o	29	11	0	18	0	0	0
ngl_lighting.o	41	17	2	22	0	0	0
