obj	manifest_rows	verified	port_status_only	external	in_progress	unresolved_engine	untracked
87cdisp.obj	5	0	0	5	0	0	0
87ctran.obj	4	0	0	4	0	0	0
87ctrigh.obj	6	0	0	6	0	0	0
87disp.obj	2	0	0	2	0	0	0
87except.obj	1	0	0	1	0	0	0
87fmod.obj	2	0	0	2	0	0	0
AeAssert.o	12	6	6	0	0	0	0
AeHash.o	1	1	0	0	0	0	0
Broc.o	161	95	66	0	0	0	0
ByteOrder.obj	5	0	0	5	0	0	0
ByteOrderIO.obj	14	0	0	14	0	0	0
CallFunctor.o	1	1	0	0	0	0	0
CircularBuffer.obj	6	0	0	6	0	0	0
FNXSDet.obj	10	0	0	10	0	0	0
InplaceFileBuilder.o	1	1	0	0	0	0	0
InplaceTree.o	1	1	0	0	0	0	0
MemoryUnit.o	35	23	12	0	0	0	0
PoolAllocator.o	64	17	47	0	0	0	0
PtrFixupTable.o	2	1	1	0	0	0	0
SearchGraph.obj	18	0	0	18	0	0	0
ShaderCommon.o	33	18	15	0	0	0	0
UnpackVoice.obj	9	0	0	9	0	0	0
XVoiceCmdsLib.obj	5	0	0	5	0	0	0
XboxMemoryUnit.o	46	28	18	0	0	0	0
_ctype.obj	15	0	0	15	0	0	0
_filbuf.obj	1	0	0	1	0	0	0
_file.obj	7	0	0	7	0	0	0
_flsbuf.obj	1	0	0	1	0	0	0
_flswbuf.obj	1	0	0	1	0	0	0
_fptostr.obj	1	0	0	1	0	0	0
_freebuf.obj	1	0	0	1	0	0	0
_getbuf.obj	1	0	0	1	0	0	0
_open.obj	1	0	0	1	0	0	0
_sftbuf.obj	2	0	0	2	0	0	0
_stricmp.obj	1	0	0	1	0	0	0
_strnicm.obj	1	0	0	1	0	0	0
abort.obj	1	0	0	1	0	0	0
abs.obj	2	0	0	2	0	0	0
ac97.obj	55	0	0	55	0	0	0
ac97xmo.obj	31	0	0	31	0	0	0
accounts.obj	42	0	0	42	0	0	0
acos.obj	1	0	0	1	0	0	0
adler32.o	2	2	0	0	0	0	0
advnotif.obj	21	0	0	21	0	0	0
ae_controller.o	2	1	1	0	0	0	0
ae_fixed_string.o	9	7	2	0	0	0	0
ae_heap.o	12	1	11	0	0	0	0
afmv_dx_idct.o	3	3	0	0	0	0	0
afmv_dx_rgb.o	2	2	0	0	0	0	0
allocate.obj	18	0	0	18	0	0	0
anim.o	741	728	13	0	0	0	0
api.obj	259	0	0	259	0	0	0
apk.o	24	21	3	0	0	0	0
apsAction.o	19	11	8	0	0	0	0
apsActionList.o	26	15	11	0	0	0	0
apsBillboardNode.o	33	2	31	0	0	0	0
