source_cpp	lib	obj	class	funcs	status	notes
zlib_xboxr:zutil.o	zlib_xboxr	zutil.o	engine	5	TODO	
aeps_xboxr:apsAction.o	aeps_xboxr	apsAction.o	engine	5	PORTED	apsAction.cpp (apsAction base: ctor/dtor/SetParam/SetDomain/Fixup; apsArray<T>+apsVirtualBase+apsDestroy/apsFixUp in apsAction.h; removed stale apsSuppliedActions stubs
cdl_xboxr:cdl_gjk.o	cdl_xboxr	cdl_gjk.o	engine	5	PORTED	Phase 2: cdl_common, cdl_gjk (stubs), cdl_base
nsl_xboxr:nslVoice.o	nsl_xboxr	nslVoice.o	engine	5	PORTED	Phase 3: nsl.cpp (audio subsystem stubs)
nsl_xboxr:nslWaveBankLoader.o	nsl_xboxr	nslWaveBankLoader.o	engine	5	PORTED	Phase 3: nsl.cpp (audio subsystem stubs)
nfl_xboxr:tx.o	nfl_xboxr	tx.o	engine	5	PORTED	Phase 2: nfl.cpp (file streaming stubs)
ngl_xboxr:ngl_dx_debug.o	ngl_xboxr	ngl_dx_debug.o	engine	5	TODO	
nal_xboxr:nal_stream.o	nal_xboxr	nal_stream.o	engine	5	PORTED	Phase 2/3: nal.cpp (animation engine types + stubs)
nal_xboxr:nal_sceneanim.o	nal_xboxr	nal_sceneanim.o	engine	5	PORTED	Phase 2/3: nal.cpp (animation engine types + stubs)
phys_xboxr:phys_gjk.o	phys_xboxr	phys_gjk.o	engine	5	PORTED	[phys_xboxr] phys_gjk.cpp: GJK simplex core (5 funcs)
bdCore:bdMallocMemory.obj	bdCore	bdMallocMemory.obj	engine	5	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdConnection:bdUnreliableSendWindow.obj	bdConnection	bdUnreliableSendWindow.obj	engine	5	TODO	
bdConnection:bdUnreliableReceiveWindow.obj	bdConnection	bdUnreliableReceiveWindow.obj	engine	5	TODO	
bdNet:bdGameInfoFactory.obj	bdNet	bdGameInfoFactory.obj	engine	5	PORTED	[bdNet] bdGameInfo.cpp: game info factory (5 funcs)
bdNet:bdDiscoveryListener.obj	bdNet	bdDiscoveryListener.obj	engine	5	TODO	
bdPlatform:bdPlatformSocket.obj	bdPlatform	bdPlatformSocket.obj	engine	5	PORTED	Phase 2: bdPlatform.cpp (timing, sockets, mutex, random)
bdPlatform:bdPlatformTiming-xbox.obj	bdPlatform	bdPlatformTiming-xbox.obj	engine	5	PORTED	Phase 2: bdPlatform.cpp (timing, sockets, mutex, random)
bdPlatform:bdInAddr.obj	bdPlatform	bdInAddr.obj	engine	5	PORTED	Phase 2: bdPlatform.cpp (timing, sockets, mutex, random)
bdConnection:bdConnectionListener.obj	bdConnection	bdConnectionListener.obj	engine	5	TODO	
render_xboxr:cdHeatHazeShader.o	render_xboxr	cdHeatHazeShader.o	engine	4	PORTED	cdHeatHazeShader.h/.cpp (heat haze: Toggle/Init; Setup+Render deferred)
render_xboxr:cdGlassShader.o	render_xboxr	cdGlassShader.o	engine	4	PORTED	cdGlassShader.h/.cpp (glass shader: Init/Toggle/Register/AddNode; Render deferred)
render_xboxr:cdSimpleColorShader.o	render_xboxr	cdSimpleColorShader.o	engine	4	PORTED	cdSimpleColorShader.h/.cpp (solid-color shader + node)
render_xboxr:cdWorldColorShader.o	render_xboxr	cdWorldColorShader.o	engine	4	PORTED	cdWorldColorShader.h/.cpp (world color shader + node + clip)
render_xboxr:cdSkyShader.o	render_xboxr	cdSkyShader.o	engine	4	PORTED	cdSkyShader.h/.cpp (sky shader: Init/Toggle/Register; Render deferred)
aeps_xboxr:apsSimpleMeshRenderer.o	aeps_xboxr	apsSimpleMeshRenderer.o	engine	4	PORTED	apsSimpleMeshRenderer.h/.cpp + apsRenderNode.h + nglScene.h (mesh renderer, node/shader inline COMDATs)
aeps_xboxr:apsVertexBuffer.o	aeps_xboxr	apsVertexBuffer.o	engine	4	PORTED	apsVertexBuffer.h/.cpp (double-buffered sprite vertex/index pool + 12 data globals)
aeps_xboxr:apsPFD.o	aeps_xboxr	apsPFD.o	engine	4	PORTED	apsPFD.cpp (field descriptor: sizes/offsets/stride + sElementSizes data)
nfl_xboxr:nfl_driver.o	nfl_xboxr	nfl_driver.o	engine	4	PORTED	Phase 2: nfl.cpp (file streaming stubs)
ngl_xboxr:ngl_dx_state.o	ngl_xboxr	ngl_dx_state.o	engine	4	TODO	
ngl_xboxr:ngl_dx_buf.o	ngl_xboxr	ngl_dx_buf.o	engine	4	TODO	
ngl_xboxr:ngl_dx_mesh.o	ngl_xboxr	ngl_dx_mesh.o	engine	4	TODO	
phys_xboxr:rbc_def_contact.o	phys_xboxr	rbc_def_contact.o	engine	4	PORTED	[phys_xboxr] rbc_def_contact.cpp: contact constraint (4 funcs)
bdCore:bdBitOperations.obj	bdCore	bdBitOperations.obj	engine	4	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdCore:bdMutex.obj	bdCore	bdMutex.obj	engine	4	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdConnection:bdReceivedMessage.obj	bdConnection	bdReceivedMessage.obj	engine	4	TODO	
bdNet:bdDispatcher.obj	bdNet	bdDispatcher.obj	engine	4	TODO	
bdPlatform:bdPlatformMutex-xbox.obj	bdPlatform	bdPlatformMutex-xbox.obj	engine	4	PORTED	Phase 2: bdPlatform.cpp (timing, sockets, mutex, random)
bdCore:bdShortTimer.obj	bdCore	bdShortTimer.obj	engine	4	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdCore:bdHMacSHA1.obj	bdCore	bdHMacSHA1.obj	engine	4	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
zlib_xboxr:compress.o	zlib_xboxr	compress.o	engine	3	PORTED	
zlib_xboxr:crc32.o	zlib_xboxr	crc32.o	engine	3	PORTED	
aeps_xboxr:apsVFC.o	aeps_xboxr	apsVFC.o	engine	3	PORTED	Phase 3: apsVFC.cpp (frustum culling, all 3 funcs)
aeps_xboxr:apsError.o	aeps_xboxr	apsError.o	engine	3	PORTED	Phase 3: apsError.cpp/.h (error singleton + allocator, 3 funcs)
aeps_xboxr:apsShrimpRenderer.o	aeps_xboxr	apsShrimpRenderer.o	engine	3	PORTED	apsShrimpRenderer.h/.cpp (shrimp/sprite renderer, shrimp node + apsEBlendMode)
aeps_xboxr:apsColorRectangleRenderer.o	aeps_xboxr	apsColorRectangleRenderer.o	engine	3	PORTED	apsColorRectangleRenderer.h/.cpp (color rectangle renderer + node)
aeps_xboxr:apsColorRectangleRenderer.o	aeps_xboxr	apsColorRectangleRenderer.o	engine	3	PORTED	
aeps_xboxr:apsColorUVARectangleRenderer.o	aeps_xboxr	apsColorUVARectangleRenderer.o	engine	3	PORTED	apsColorUVARectangleRenderer.h/.cpp (color UVA rectangle renderer + node)
aeps_xboxr:apsColorUVARectangleRenderer.o	aeps_xboxr	apsColorUVARectangleRenderer.o	engine	3	PORTED	
aeps_xboxr:apsUVARectangleRenderer.o	aeps_xboxr	apsUVARectangleRenderer.o	engine	3	PORTED	apsUVARectangleRenderer.h/.cpp (UVA rectangle renderer + node)
aeps_xboxr:apsUVARectangleRenderer.o	aeps_xboxr	apsUVARectangleRenderer.o	engine	3	PORTED	
aeps_xboxr:apsRectangleRenderer.o	aeps_xboxr	apsRectangleRenderer.o	engine	3	PORTED	apsRectangleRenderer.h/.cpp (rectangle renderer + node)
aeps_xboxr:apsRectangleRenderer.o	aeps_xboxr	apsRectangleRenderer.o	engine	3	PORTED	
aeps_xboxr:apsColorUVARenderer.o	aeps_xboxr	apsColorUVARenderer.o	engine	3	PORTED	apsColorUVARenderer.h/.cpp (color UVA renderer + node)
aeps_xboxr:apsColorUVARenderer.o	aeps_xboxr	apsColorUVARenderer.o	engine	3	PORTED	
aeps_xboxr:apsColorBillboardRenderer.o	aeps_xboxr	apsColorBillboardRenderer.o	engine	3	PORTED	apsColorBillboardRenderer.h/.cpp (color billboard renderer + node)
aeps_xboxr:apsUVARenderer.o	aeps_xboxr	apsUVARenderer.o	engine	3	PORTED	apsUVARenderer.h/.cpp (UVA renderer + node + frame math)
aeps_xboxr:apsUVARenderer.o	aeps_xboxr	apsUVARenderer.o	engine	3	PORTED	
aeps_xboxr:apsRenderer.o	aeps_xboxr	apsRenderer.o	engine	3	PORTED	Phase 3: apsRenderer.cpp/.h (renderer base + fixup, 3 funcs)
nsl_xboxr:nslWaveBankSort.o	nsl_xboxr	nslWaveBankSort.o	engine	3	PORTED	Phase 3: nsl.cpp (audio subsystem stubs)
nvl_xboxr:afmv_dx_idct.o	nvl_xboxr	afmv_dx_idct.o	engine	3	PORTED	Phase 2: nvl.cpp (video codec stubs)
ngl_xboxr:ngl_dx_scenedump.o	ngl_xboxr	ngl_dx_scenedump.o	engine	3	PORTED	
bdCore:bdLogSubscriber.obj	bdCore	bdLogSubscriber.obj	engine	3	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdCore:bdByteBuffer.obj	bdCore	bdByteBuffer.obj	engine	3	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdCore:bdCore.obj	bdCore	bdCore.obj	engine	3	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdCore:bdAlignedOffsetMemory.obj	bdCore	bdAlignedOffsetMemory.obj	engine	3	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdPeer:bdSessionInfo.obj	bdPeer	bdSessionInfo.obj	engine	3	PORTED	bdSessionInfo.h/.cpp (session info formatters; bdSession/bdAddressMapImpl opaque)
bdPeer:bdSessionHandler.obj	bdPeer	bdSessionHandler.obj	engine	3	PORTED	bdSessionHandler.h/.cpp (bdSessionInterceptor interface + default handler)
bdCore:bdTrulyRandom.obj	bdCore	bdTrulyRandom.obj	engine	3	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
core_xboxr:ae_controller.o	core_xboxr	ae_controller.o	engine	2	PORTED	Phase 2: PoolAllocator, ae_string_support, ae_assert, ae_hash, ae_controller
render_xboxr:cdDebugVertexDef.o	render_xboxr	cdDebugVertexDef.o	engine	2	PORTED	cdDebugVertexDef.cpp/.h (debug vertex format + tlInitListFunction inline class)
render_xboxr:cdScratchVertexDef.o	render_xboxr	cdScratchVertexDef.o	engine	2	PORTED	cdScratchVertexDef.cpp (scratch vertex format builder)
render_xboxr:cdDynamicDecalVertexDef.o	render_xboxr	cdDynamicDecalVertexDef.o	engine	2	PORTED	cdDynamicDecalVertexDef.cpp (dynamic decal vertex format builder)
zlib_xboxr:adler32.o	zlib_xboxr	adler32.o	engine	2	PORTED	
aeps_xboxr:apsDebug.o	aeps_xboxr	apsDebug.o	engine	2	PORTED	apsDebug.h/.cpp (PrintWarning/Print + mbEnabled data, Enabled/SetEnabled inline)
cdl_xboxr:cdl_base.o	cdl_xboxr	cdl_base.o	engine	2	PORTED	Phase 2: cdl_common, cdl_gjk (stubs), cdl_base
nsl_xboxr:nslUpdate.o	nsl_xboxr	nslUpdate.o	engine	2	PORTED	Phase 3: nsl.cpp (audio subsystem stubs)
nsl_xboxr:nslMemory.o	nsl_xboxr	nslMemory.o	engine	2	PORTED	Phase 3: nsl.cpp (audio subsystem stubs)
nvl_xboxr:afmv_dx_rgb.o	nvl_xboxr	afmv_dx_rgb.o	engine	2	PORTED	Phase 2: nvl.cpp (video codec stubs)
ngl_xboxr:ngl_dx_quad.o	ngl_xboxr	ngl_dx_quad.o	engine	2	PORTED	ngl_dx_quad.h/.cpp (push-buffer quad render + ViewToScreenZ/SetTextureUV inlines)
ngl_xboxr:ngl_gpu_debug.o	ngl_xboxr	ngl_gpu_debug.o	engine	2	PORTED	ngl_gpu_debug.h/.cpp (debug line/tri render + gpuSetVertexShader inline)
nal_xboxr:nal_ik.o	nal_xboxr	nal_ik.o	engine	2	PORTED	Phase 2/3: nal.cpp (animation engine types + stubs)
phys_xboxr:phys_collision.o	phys_xboxr	phys_collision.o	engine	2	PORTED	phys_collision.cpp calc_feature_normal ported; process @0x878C10 (2678B) deferred (needs manifold_process infra)
phys_xboxr:rbc_def_custom.o	phys_xboxr	rbc_def_custom.o	engine	2	PORTED	rbc_def_custom.cpp + pulse_sum.h (custom orientation/path constraint setup)
bdPeer:bdSessionInterceptor.obj	bdPeer	bdSessionInterceptor.obj	engine	2	PORTED	bdSessionInterceptor.cpp (abstract connect-intercept interface)
bdSocket:bdQoSProbeListener.obj	bdSocket	bdQoSProbeListener.obj	engine	2	PORTED	bdQoSProbeListener.h/.cpp (abstract QoS probe listener)
bdNet:bdDispatchInterceptor.obj	bdNet	bdDispatchInterceptor.obj	engine	2	PORTED	bdDispatchInterceptor.h/.cpp (abstract dispatch interface)
CallFunctor.o		CallFunctor.o	game	1	PORTED	AeThreadFunctor.h + CallFunctor.cpp (virtual CallFunction dispatch)
core_xboxr:AeHash.o	core_xboxr	AeHash.o	engine	1	PORTED	Phase 2: PoolAllocator, ae_string_support, ae_assert, ae_hash, ae_controller
inplace_xboxr:InplaceTree.o	inplace_xboxr	InplaceTree.o	engine	1	PORTED	Phase 2: inplace.cpp (fixups, tree extract)
inplace_xboxr:PtrFixupTable.o	inplace_xboxr	PtrFixupTable.o	engine	1	PORTED	Phase 2: inplace.cpp (fixups, tree extract)
inplace_xboxr:InplaceFileBuilder.o	inplace_xboxr	InplaceFileBuilder.o	engine	1	PORTED	Phase 2: inplace.cpp (fixups, tree extract)
zlib_xboxr:uncompr.o	zlib_xboxr	uncompr.o	engine	1	TODO	
zlib_xboxr:inffast.o	zlib_xboxr	inffast.o	engine	1	TODO	
zlib_xboxr:inftrees.o	zlib_xboxr	inftrees.o	engine	1	TODO	
aeps_xboxr:apsSimpleMeshNode.o	aeps_xboxr	apsSimpleMeshNode.o	engine	1	PORTED	apsSimpleMeshNode.cpp (Render stub - GPU mesh draw deferred; requires unported Xbox D3D8/ngl pipeline)
aeps_xboxr:apsShrimpNode.o	aeps_xboxr	apsShrimpNode.o	engine	1	PORTED	apsShrimpNode.cpp (Render stub - GPU sprite draw deferred; requires unported Xbox D3D8/ngl pipeline)
aeps_xboxr:apsBillboardNode.o	aeps_xboxr	apsBillboardNode.o	engine	1	PORTED	apsBillboardNode.cpp (Render forwarder to cNodeRenderer<,apsBillboardNode>::Render)
aeps_xboxr:apsColorRectangleNode.o	aeps_xboxr	apsColorRectangleNode.o	engine	1	PORTED	apsColorRectangleNode.cpp (Render forwarder to cNodeRenderer<,apsColorRectangleNode>::Render)
aeps_xboxr:apsUVANode.o	aeps_xboxr	apsUVANode.o	engine	1	PORTED	apsUVANode.cpp (Render forwarder to cNodeRenderer<,apsUVANode>::Render)
aeps_xboxr:apsColorUVARectangleNode.o	aeps_xboxr	apsColorUVARectangleNode.o	engine	1	PORTED	apsColorUVARectangleNode.cpp (Render forwarder to cNodeRenderer<,apsColorUVARectangleNode>::Render)
aeps_xboxr:apsUVARectangleNode.o	aeps_xboxr	apsUVARectangleNode.o	engine	1	PORTED	apsUVARectangleNode.cpp (Render forwarder to cNodeRenderer<,apsUVARectangleNode>::Render)
aeps_xboxr:apsRectangleNode.o	aeps_xboxr	apsRectangleNode.o	engine	1	PORTED	apsRectangleNode.cpp (Render forwarder to cNodeRenderer<,apsRectangleNode>::Render)
aeps_xboxr:apsColorUVANode.o	aeps_xboxr	apsColorUVANode.o	engine	1	PORTED	apsColorUVANode.cpp (Render forwarder to cNodeRenderer<,apsColorUVANode>::Render)
aeps_xboxr:apsColorBillboardNode.o	aeps_xboxr	apsColorBillboardNode.o	engine	1	PORTED	apsColorBillboardNode.cpp (Render forwarder to cNodeRenderer<,apsColorBillboardNode>::Render)
nsl_xboxr:nslWaveBankFixup.o	nsl_xboxr	nslWaveBankFixup.o	engine	1	PORTED	Phase 3: nsl.cpp (audio subsystem stubs)
nfl_xboxr:nfl_xbox_driver.o	nfl_xboxr	nfl_xbox_driver.o	engine	1	PORTED	Phase 2: nfl.cpp (file streaming stubs)
tl_xboxr:tl_initlist.o	tl_xboxr	tl_initlist.o	engine	1	PORTED	Phase 2: tl_system.cpp + tl_instbank.cpp
ngl_xboxr:ngl_xb_tex_load.o	ngl_xboxr	ngl_xb_tex_load.o	engine	1	PORTED	ngl_xb_tex_load.cpp (image/physical section fixup + D3DResource_Register); apk.h class mangling fix
ngl_xboxr:ngl_gpu_texture.o	ngl_xboxr	ngl_gpu_texture.o	engine	1	PORTED	ngl_gpu_texture.cpp + ngl_dx_gpu.h (nglCreateTexture + gpu/D3DDevice inline wrappers)
ngl_xboxr:ngl_dx_fsaa.o	ngl_xboxr	ngl_dx_fsaa.o	engine	1	PORTED	Phase 6: ngl_dx_fsaa.cpp/.h (FSAA mode select + nglFSAAScaleX/Y/nglFSAA/nglFSAAParams data)
ngl_xboxr:ngl_dx_draw.o	ngl_xboxr	ngl_dx_draw.o	engine	1	PORTED	Phase 6: ngl_dx_draw.cpp (render-target switch + nglCurSurface/nglCurDepthBuffer data)
ngl_xboxr:ngl_dx_font.o	ngl_xboxr	ngl_dx_font.o	engine	1	TODO	
ngl_xboxr:ngl_xb_internal.o	ngl_xboxr	ngl_xb_internal.o	engine	1	PORTED	ngl_xb_internal.cpp/.h (CreateVertexDeclaration + nglXbPushQuad data)
nal_xboxr:nal_initlist.o	nal_xboxr	nal_initlist.o	engine	1	PORTED	Phase 2/3: nal.cpp (animation engine types + stubs)
bdCore:bdReferencable.obj	bdCore	bdReferencable.obj	engine	1	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdCore:bdHMac.obj	bdCore	bdHMac.obj	engine	1	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdPlatform:bdPlatformTrulyRandom-xbox.obj	bdPlatform	bdPlatformTrulyRandom-xbox.obj	engine	1	PORTED	Phase 2: bdPlatform.cpp (timing, sockets, mutex, random)
